animal,group,experiment,window,Mesor,Amplitude,Acrophase
1.0,Sham,8.0,before,36.09903519979869,0.5566985778162817,-0.005646501158392447
1.0,Sham,8.0,after,35.90545248925166,0.45397241640429176,-0.016083254128749565
